Time,Date,EMG Value (V),Filtered Value (V)
11:00:44,26-Aug-2021,0.083,0.084
11:00:44,26-Aug-2021,0.083,0.084
11:00:44,26-Aug-2021,0.083,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.093,0.084
11:00:44,26-Aug-2021,0.093,0.084
11:00:44,26-Aug-2021,0.083,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.078,0.084
11:00:44,26-Aug-2021,0.08800000000000001,0.084
11:00:44,26-Aug-2021,0.08800000000000001,0.084
11:00:44,26-Aug-2021,0.08800000000000001,0.084
11:00:44,26-Aug-2021,0.08800000000000001,0.084
11:00:44,26-Aug-2021,0.08800000000000001,0.083
11:00:44,26-Aug-2021,0.08800000000000001,0.083
11:00:44,26-Aug-2021,0.093,0.083
11:00:44,26-Aug-2021,0.093,0.083
11:00:44,26-Aug-2021,0.093,0.083
11:00:44,26-Aug-2021,0.08800000000000001,0.083
11:00:44,26-Aug-2021,0.08800000000000001,0.083
11:00:44,26-Aug-2021,0.08800000000000001,0.082
11:00:44,26-Aug-2021,0.0735,0.082
11:00:44,26-Aug-2021,0.0735,0.082
11:00:44,26-Aug-2021,0.0735,0.082
11:00:44,26-Aug-2021,0.0735,0.081
11:00:44,26-Aug-2021,0.0735,0.081
11:00:44,26-Aug-2021,0.0735,0.081
11:00:44,26-Aug-2021,0.083,0.081
11:00:44,26-Aug-2021,0.083,0.08
11:00:44,26-Aug-2021,0.078,0.08
11:00:44,26-Aug-2021,0.078,0.08
11:00:44,26-Aug-2021,0.078,0.08
11:00:44,26-Aug-2021,0.083,0.079
11:00:44,26-Aug-2021,0.083,0.079
11:00:44,26-Aug-2021,0.083,0.079
11:00:44,26-Aug-2021,0.083,0.079
11:00:44,26-Aug-2021,0.078,0.079
11:00:44,26-Aug-2021,0.078,0.078
11:00:44,26-Aug-2021,0.078,0.078
11:00:44,26-Aug-2021,0.078,0.078
11:00:44,26-Aug-2021,0.0735,0.078
11:00:44,26-Aug-2021,0.0735,0.078
11:00:44,26-Aug-2021,0.0735,0.078
11:00:44,26-Aug-2021,0.0735,0.077
11:00:44,26-Aug-2021,0.0735,0.077
11:00:44,26-Aug-2021,0.0735,0.077
11:00:44,26-Aug-2021,0.0735,0.077
11:00:44,26-Aug-2021,0.0735,0.077
11:00:44,26-Aug-2021,0.078,0.077
11:00:44,26-Aug-2021,0.078,0.077
11:00:44,26-Aug-2021,0.078,0.076
11:00:44,26-Aug-2021,0.078,0.076
11:00:44,26-Aug-2021,0.078,0.076
11:00:44,26-Aug-2021,0.078,0.076
11:00:44,26-Aug-2021,0.078,0.076
11:00:44,26-Aug-2021,0.083,0.076
11:00:44,26-Aug-2021,0.083,0.076
11:00:44,26-Aug-2021,0.083,0.075
11:00:44,26-Aug-2021,0.083,0.075
11:00:44,26-Aug-2021,0.083,0.075
11:00:44,26-Aug-2021,0.078,0.075
11:00:44,26-Aug-2021,0.078,0.075
11:00:44,26-Aug-2021,0.078,0.075
11:00:44,26-Aug-2021,0.078,0.075
11:00:44,26-Aug-2021,0.078,0.074
11:00:44,26-Aug-2021,0.078,0.074
11:00:44,26-Aug-2021,0.0685,0.074
11:00:44,26-Aug-2021,0.0685,0.074
11:00:44,26-Aug-2021,0.0685,0.074
11:00:44,26-Aug-2021,0.0685,0.074
11:00:44,26-Aug-2021,0.0685,0.075
11:00:44,26-Aug-2021,0.0685,0.075
11:00:44,26-Aug-2021,0.0685,0.075
11:00:44,26-Aug-2021,0.0685,0.075
11:00:44,26-Aug-2021,0.0735,0.076
11:00:44,26-Aug-2021,0.0735,0.076
11:00:44,26-Aug-2021,0.0735,0.077
11:00:44,26-Aug-2021,0.0735,0.077
11:00:44,26-Aug-2021,0.0735,0.078
11:00:44,26-Aug-2021,0.078,0.078
11:00:44,26-Aug-2021,0.078,0.079
11:00:44,26-Aug-2021,0.078,0.08
11:00:44,26-Aug-2021,0.078,0.08
11:00:44,26-Aug-2021,0.078,0.081
11:00:44,26-Aug-2021,0.078,0.082
11:00:44,26-Aug-2021,0.083,0.083
11:00:44,26-Aug-2021,0.083,0.083
11:00:44,26-Aug-2021,0.083,0.084
11:00:44,26-Aug-2021,0.083,0.085
11:00:44,26-Aug-2021,0.083,0.086
11:00:44,26-Aug-2021,0.083,0.086
11:00:44,26-Aug-2021,0.083,0.087
11:00:44,26-Aug-2021,0.098,0.088
11:00:44,26-Aug-2021,0.098,0.088
11:00:44,26-Aug-2021,0.10749999999999998,0.089
11:00:44,26-Aug-2021,0.10749999999999998,0.09
11:00:44,26-Aug-2021,0.10250000000000001,0.09
11:00:44,26-Aug-2021,0.10250000000000001,0.091
11:00:44,26-Aug-2021,0.093,0.091
11:00:44,26-Aug-2021,0.093,0.091
11:00:44,26-Aug-2021,0.093,0.092
11:00:44,26-Aug-2021,0.093,0.092
11:00:44,26-Aug-2021,0.08800000000000001,0.092
11:00:44,26-Aug-2021,0.08800000000000001,0.092
11:00:44,26-Aug-2021,0.08800000000000001,0.092
11:00:44,26-Aug-2021,0.08800000000000001,0.092
11:00:44,26-Aug-2021,0.083,0.093
11:00:44,26-Aug-2021,0.093,0.093
11:00:44,26-Aug-2021,0.093,0.093
11:00:44,26-Aug-2021,0.093,0.093
11:00:44,26-Aug-2021,0.093,0.093
11:00:44,26-Aug-2021,0.08800000000000001,0.093
11:00:44,26-Aug-2021,0.08800000000000001,0.093
11:00:45,26-Aug-2021,0.098,0.093
11:00:45,26-Aug-2021,0.098,0.093
11:00:45,26-Aug-2021,0.098,0.093
11:00:45,26-Aug-2021,0.098,0.093
11:00:45,26-Aug-2021,0.08800000000000001,0.093
11:00:45,26-Aug-2021,0.08800000000000001,0.093
11:00:45,26-Aug-2021,0.08800000000000001,0.093
11:00:45,26-Aug-2021,0.08800000000000001,0.093
11:00:45,26-Aug-2021,0.083,0.093
11:00:45,26-Aug-2021,0.083,0.093
11:00:45,26-Aug-2021,0.083,0.093
11:00:45,26-Aug-2021,0.083,0.094
11:00:45,26-Aug-2021,0.08800000000000001,0.094
11:00:45,26-Aug-2021,0.08800000000000001,0.094
11:00:45,26-Aug-2021,0.08800000000000001,0.094
11:00:45,26-Aug-2021,0.093,0.094
11:00:45,26-Aug-2021,0.093,0.094
11:00:45,26-Aug-2021,0.093,0.094
11:00:45,26-Aug-2021,0.093,0.094
11:00:45,26-Aug-2021,0.093,0.093
11:00:45,26-Aug-2021,0.10749999999999998,0.093
11:00:45,26-Aug-2021,0.10749999999999998,0.093
11:00:45,26-Aug-2021,0.10749999999999998,0.093
11:00:45,26-Aug-2021,0.098,0.092
11:00:45,26-Aug-2021,0.098,0.092
11:00:45,26-Aug-2021,0.098,0.091
11:00:45,26-Aug-2021,0.098,0.091
11:00:45,26-Aug-2021,0.098,0.09
11:00:45,26-Aug-2021,0.098,0.089
11:00:45,26-Aug-2021,0.098,0.089
11:00:45,26-Aug-2021,0.098,0.088
