Time,Date,EMG Value (V),Filtered Value (V)
11:21:43,26-Aug-2021,0.078,0.078
11:21:43,26-Aug-2021,0.0635,0.072
11:21:43,26-Aug-2021,0.049,0.066
11:21:43,26-Aug-2021,0.039,0.06
11:21:43,26-Aug-2021,0.039,0.054
11:21:43,26-Aug-2021,0.033999999999999996,0.049
11:21:43,26-Aug-2021,0.033999999999999996,0.043
11:21:43,26-Aug-2021,0.0295,0.039
11:21:43,26-Aug-2021,0.0295,0.034
11:21:43,26-Aug-2021,0.0245,0.03
11:21:43,26-Aug-2021,0.0245,0.026
11:21:43,26-Aug-2021,0.0195,0.023
11:21:43,26-Aug-2021,0.014499999999999999,0.02
11:21:43,26-Aug-2021,0.014499999999999999,0.017
11:21:43,26-Aug-2021,0.014499999999999999,0.015
11:21:43,26-Aug-2021,0.014499999999999999,0.013
11:21:43,26-Aug-2021,0.014499999999999999,0.012
11:21:43,26-Aug-2021,0.014499999999999999,0.011
11:21:43,26-Aug-2021,0.014499999999999999,0.01
11:21:43,26-Aug-2021,0.01,0.01
11:21:43,26-Aug-2021,0.01,0.01
11:21:43,26-Aug-2021,0.014499999999999999,0.01
11:21:43,26-Aug-2021,0.014499999999999999,0.01
11:21:43,26-Aug-2021,0.014499999999999999,0.01
11:21:43,26-Aug-2021,0.014499999999999999,0.011
11:21:43,26-Aug-2021,0.014499999999999999,0.012
11:21:43,26-Aug-2021,0.014499999999999999,0.013
11:21:43,26-Aug-2021,0.0195,0.014
11:21:43,26-Aug-2021,0.0195,0.015
11:21:43,26-Aug-2021,0.0195,0.016
11:21:44,26-Aug-2021,0.0195,0.018
11:21:44,26-Aug-2021,0.0195,0.019
11:21:44,26-Aug-2021,0.014499999999999999,0.021
11:21:44,26-Aug-2021,0.014499999999999999,0.022
11:21:44,26-Aug-2021,0.014499999999999999,0.023
11:21:44,26-Aug-2021,0.014499999999999999,0.025
11:21:44,26-Aug-2021,0.014499999999999999,0.026
11:21:44,26-Aug-2021,0.014499999999999999,0.028
11:21:44,26-Aug-2021,0.039,0.029
11:21:44,26-Aug-2021,0.039,0.03
11:21:44,26-Aug-2021,0.044000000000000004,0.032
11:21:44,26-Aug-2021,0.044000000000000004,0.033
11:21:44,26-Aug-2021,0.033999999999999996,0.034
11:21:44,26-Aug-2021,0.033999999999999996,0.035
11:21:44,26-Aug-2021,0.033999999999999996,0.036
11:21:44,26-Aug-2021,0.054000000000000006,0.037
11:21:44,26-Aug-2021,0.0585,0.038
11:21:44,26-Aug-2021,0.0585,0.038
11:21:44,26-Aug-2021,0.049,0.039
11:21:44,26-Aug-2021,0.049,0.04
11:21:44,26-Aug-2021,0.044000000000000004,0.041
11:21:44,26-Aug-2021,0.033999999999999996,0.042
11:21:44,26-Aug-2021,0.033999999999999996,0.043
