Time,Date,EMG Value (V),Filtered Value (V),,
10:19:21,30-Sep-21,1.178,1.178,1.387684,1.387684
10:19:21,30-Sep-21,1.1585,1.18,1.34212225,1.3924
10:19:21,30-Sep-21,1.1585,1.181,1.34212225,1.394761
10:19:21,30-Sep-21,1.1585,1.183,1.34212225,1.399489
10:19:21,30-Sep-21,1.1535,1.184,1.33056225,1.401856
10:19:21,30-Sep-21,1.1535,1.185,1.33056225,1.404225
10:19:21,30-Sep-21,1.1585,1.186,1.34212225,1.406596
10:19:21,30-Sep-21,1.1585,1.187,1.34212225,1.408969
10:19:21,30-Sep-21,1.1585,1.189,1.34212225,1.413721
10:19:21,30-Sep-21,1.1875,1.19,1.41015625,1.4161
10:19:21,30-Sep-21,1.2025,1.191,1.44600625,1.418481
10:19:21,30-Sep-21,1.2025,1.192,1.44600625,1.420864
10:19:21,30-Sep-21,1.212,1.192,1.468944,1.420864
10:19:21,30-Sep-21,1.212,1.193,1.468944,1.423249
10:19:21,30-Sep-21,1.212,1.194,1.468944,1.425636
10:19:21,30-Sep-21,1.212,1.195,1.468944,1.428025
10:19:21,30-Sep-21,1.212,1.195,1.468944,1.428025
10:19:21,30-Sep-21,1.212,1.196,1.468944,1.430416
10:19:21,30-Sep-21,1.2025,1.196,1.44600625,1.430416
10:19:21,30-Sep-21,1.2025,1.196,1.44600625,1.430416
10:19:21,30-Sep-21,1.2025,1.197,1.44600625,1.432809
10:19:21,30-Sep-21,1.1975,1.197,1.43400625,1.432809
10:19:21,30-Sep-21,1.1975,1.197,1.43400625,1.432809
10:19:21,30-Sep-21,1.183,1.197,1.399489,1.432809
10:19:21,30-Sep-21,1.183,1.196,1.399489,1.430416
10:19:21,30-Sep-21,1.183,1.196,1.399489,1.430416
10:19:21,30-Sep-21,1.183,1.196,1.399489,1.430416
10:19:21,30-Sep-21,1.1875,1.195,1.41015625,1.428025
10:19:21,30-Sep-21,1.1875,1.195,1.41015625,1.428025
10:19:21,30-Sep-21,1.1925,1.194,1.42205625,1.425636
10:19:21,30-Sep-21,1.1925,1.194,1.42205625,1.425636
10:19:21,30-Sep-21,1.1925,1.193,1.42205625,1.423249
10:19:21,30-Sep-21,1.1925,1.192,1.42205625,1.420864
10:19:21,30-Sep-21,1.2025,1.192,1.44600625,1.420864
10:19:21,30-Sep-21,1.212,1.191,1.468944,1.418481
10:19:21,30-Sep-21,1.212,1.19,1.468944,1.4161
10:19:21,30-Sep-21,1.207,1.189,1.456849,1.413721
10:19:21,30-Sep-21,1.207,1.188,1.456849,1.411344
10:19:22,30-Sep-21,1.1925,1.187,1.42205625,1.408969
10:19:22,30-Sep-21,1.1925,1.186,1.42205625,1.406596
10:19:22,30-Sep-21,1.1925,1.185,1.42205625,1.404225
10:19:22,30-Sep-21,1.1925,1.184,1.42205625,1.401856
10:19:22,30-Sep-21,1.183,1.183,1.399489,1.399489
10:19:22,30-Sep-21,1.183,1.182,1.399489,1.397124
10:19:22,30-Sep-21,1.163,1.181,1.352569,1.394761
10:19:22,30-Sep-21,1.163,1.18,1.352569,1.3924
10:19:22,30-Sep-21,1.1535,1.179,1.33056225,1.390041
10:19:22,30-Sep-21,1.1535,1.178,1.33056225,1.387684
10:19:22,30-Sep-21,1.1485,1.177,1.31905225,1.385329
10:19:22,30-Sep-21,1.1485,1.177,1.31905225,1.385329
10:19:22,30-Sep-21,1.1485,1.176,1.31905225,1.382976
10:19:22,30-Sep-21,1.1485,1.175,1.31905225,1.380625
10:19:22,30-Sep-21,1.1485,1.174,1.31905225,1.378276
10:19:22,30-Sep-21,1.1535,1.173,1.33056225,1.375929
10:19:22,30-Sep-21,1.1535,1.173,1.33056225,1.375929
10:19:22,30-Sep-21,1.178,1.172,1.387684,1.373584
10:19:22,30-Sep-21,1.178,1.171,1.387684,1.371241
10:19:22,30-Sep-21,1.1925,1.171,1.42205625,1.371241
10:19:22,30-Sep-21,1.1925,1.17,1.42205625,1.3689
10:19:22,30-Sep-21,1.1975,1.169,1.43400625,1.366561
10:19:22,30-Sep-21,1.1975,1.168,1.43400625,1.364224
10:19:22,30-Sep-21,1.1975,1.167,1.43400625,1.361889
10:19:22,30-Sep-21,1.1975,1.166,1.43400625,1.359556
10:19:22,30-Sep-21,1.1975,1.166,1.43400625,1.359556
10:19:22,30-Sep-21,1.1975,1.165,1.43400625,1.357225
10:19:22,30-Sep-21,1.1975,1.164,1.43400625,1.354896
10:19:22,30-Sep-21,1.178,1.163,1.387684,1.352569
10:19:22,30-Sep-21,1.168,1.162,1.364224,1.350244
10:19:22,30-Sep-21,1.168,1.161,1.364224,1.347921
10:19:22,30-Sep-21,1.1435,1.16,1.30759225,1.3456
10:19:22,30-Sep-21,1.1435,1.159,1.30759225,1.343281
10:19:22,30-Sep-21,1.1435,1.158,1.30759225,1.340964
10:19:22,30-Sep-21,1.1435,1.157,1.30759225,1.338649
10:19:22,30-Sep-21,1.139,1.156,1.297321,1.336336
10:19:22,30-Sep-21,1.129,1.155,1.274641,1.334025
10:19:22,30-Sep-21,1.129,1.154,1.274641,1.331716
10:19:22,30-Sep-21,1.129,1.154,1.274641,1.331716
10:19:22,30-Sep-21,1.139,1.153,1.297321,1.329409
10:19:22,30-Sep-21,1.139,1.153,1.297321,1.329409
10:19:22,30-Sep-21,1.1485,1.152,1.31905225,1.327104
10:19:22,30-Sep-21,1.1485,1.152,1.31905225,1.327104
