Time,Date,EMG Value (V),Filtered Value (V),,
10:30:01,30-Sep-21,0.8455,0.848,0.71487025,0.719104
10:30:01,30-Sep-21,0.8505,0.843,0.72335025,0.710649
10:30:01,30-Sep-21,0.8405,0.837,0.70644025,0.700569
10:30:01,30-Sep-21,0.831,0.831,0.690561,0.690561
10:30:01,30-Sep-21,0.831,0.826,0.690561,0.682276
10:30:01,30-Sep-21,0.816,0.82,0.665856,0.6724
10:30:01,30-Sep-21,0.816,0.814,0.665856,0.662596
10:30:01,30-Sep-21,0.8015,0.808,0.64240225,0.652864
10:30:01,30-Sep-21,0.8015,0.802,0.64240225,0.643204
10:30:01,30-Sep-21,0.782,0.795,0.611524,0.632025
10:30:01,30-Sep-21,0.782,0.789,0.611524,0.622521
10:30:01,30-Sep-21,0.782,0.783,0.611524,0.613089
10:30:01,30-Sep-21,0.7675,0.777,0.58905625,0.603729
10:30:01,30-Sep-21,0.7675,0.771,0.58905625,0.594441
10:30:01,30-Sep-21,0.7525,0.765,0.56625625,0.585225
10:30:01,30-Sep-21,0.7525,0.758,0.56625625,0.574564
10:30:01,30-Sep-21,0.7525,0.752,0.56625625,0.565504
10:30:01,30-Sep-21,0.7525,0.746,0.56625625,0.556516
10:30:01,30-Sep-21,0.7525,0.74,0.56625625,0.5476
10:30:01,30-Sep-21,0.738,0.735,0.544644,0.540225
10:30:01,30-Sep-21,0.738,0.729,0.544644,0.531441
10:30:01,30-Sep-21,0.7285,0.723,0.53071225,0.522729
10:30:01,30-Sep-21,0.7285,0.717,0.53071225,0.514089
10:30:01,30-Sep-21,0.7135,0.712,0.50908225,0.506944
10:30:01,30-Sep-21,0.7135,0.707,0.50908225,0.499849
10:30:01,30-Sep-21,0.694,0.701,0.481636,0.491401
10:30:01,30-Sep-21,0.694,0.696,0.481636,0.484416
10:30:01,30-Sep-21,0.694,0.691,0.481636,0.477481
10:30:01,30-Sep-21,0.6795,0.686,0.46172025,0.470596
10:30:02,30-Sep-21,0.6795,0.682,0.46172025,0.465124
10:30:02,30-Sep-21,0.66,0.677,0.4356,0.458329
10:30:02,30-Sep-21,0.66,0.673,0.4356,0.452929
10:30:02,30-Sep-21,0.66,0.669,0.4356,0.447561
10:30:02,30-Sep-21,0.65,0.665,0.4225,0.442225
10:30:02,30-Sep-21,0.65,0.661,0.4225,0.436921
10:30:02,30-Sep-21,0.6405,0.657,0.41024025,0.431649
10:30:02,30-Sep-21,0.6405,0.654,0.41024025,0.427716
10:30:02,30-Sep-21,0.6405,0.65,0.41024025,0.4225
10:30:02,30-Sep-21,0.6405,0.647,0.41024025,0.418609
10:30:02,30-Sep-21,0.6405,0.644,0.41024025,0.414736
10:30:02,30-Sep-21,0.6405,0.641,0.41024025,0.410881
10:30:02,30-Sep-21,0.6405,0.639,0.41024025,0.408321
10:30:02,30-Sep-21,0.6405,0.636,0.41024025,0.404496
10:30:02,30-Sep-21,0.645,0.634,0.416025,0.401956
10:30:02,30-Sep-21,0.645,0.632,0.416025,0.399424
10:30:02,30-Sep-21,0.645,0.63,0.416025,0.3969
10:30:02,30-Sep-21,0.6405,0.628,0.41024025,0.394384
10:30:02,30-Sep-21,0.6405,0.626,0.41024025,0.391876
10:30:02,30-Sep-21,0.6355,0.624,0.40386025,0.389376
10:30:02,30-Sep-21,0.6355,0.623,0.40386025,0.388129
10:30:02,30-Sep-21,0.6355,0.622,0.40386025,0.386884
10:30:02,30-Sep-21,0.6305,0.62,0.39753025,0.3844
10:30:02,30-Sep-21,0.6305,0.619,0.39753025,0.383161
10:30:02,30-Sep-21,0.6205,0.619,0.38502025,0.383161
10:30:02,30-Sep-21,0.6205,0.618,0.38502025,0.381924
10:30:02,30-Sep-21,0.6205,0.617,0.38502025,0.380689
10:30:02,30-Sep-21,0.6205,0.617,0.38502025,0.380689
10:30:02,30-Sep-21,0.611,0.617,0.373321,0.380689
10:30:02,30-Sep-21,0.611,0.616,0.373321,0.379456
10:30:02,30-Sep-21,0.611,0.617,0.373321,0.380689
10:30:02,30-Sep-21,0.611,0.617,0.373321,0.380689
10:30:02,30-Sep-21,0.611,0.617,0.373321,0.380689
10:30:02,30-Sep-21,0.606,0.617,0.367236,0.380689
10:30:02,30-Sep-21,0.606,0.618,0.367236,0.381924
10:30:02,30-Sep-21,0.606,0.619,0.367236,0.383161
10:30:02,30-Sep-21,0.606,0.62,0.367236,0.3844
10:30:02,30-Sep-21,0.606,0.621,0.367236,0.385641
10:30:02,30-Sep-21,0.606,0.622,0.367236,0.386884
10:30:02,30-Sep-21,0.6205,0.623,0.38502025,0.388129
10:30:02,30-Sep-21,0.6205,0.624,0.38502025,0.389376
10:30:02,30-Sep-21,0.6305,0.626,0.39753025,0.391876
10:30:02,30-Sep-21,0.6305,0.627,0.39753025,0.393129
10:30:02,30-Sep-21,0.6405,0.629,0.41024025,0.395641
10:30:02,30-Sep-21,0.6405,0.631,0.41024025,0.398161
10:30:02,30-Sep-21,0.645,0.633,0.416025,0.400689
10:30:02,30-Sep-21,0.645,0.635,0.416025,0.403225
10:30:02,30-Sep-21,0.645,0.637,0.416025,0.405769
10:30:02,30-Sep-21,0.645,0.639,0.416025,0.408321
10:30:02,30-Sep-21,0.645,0.641,0.416025,0.410881
10:30:02,30-Sep-21,0.65,0.644,0.4225,0.414736
10:30:02,30-Sep-21,0.65,0.646,0.4225,0.417316
10:30:02,30-Sep-21,0.65,0.649,0.4225,0.421201
10:30:02,30-Sep-21,0.655,0.651,0.429025,0.423801
10:30:02,30-Sep-21,0.655,0.654,0.429025,0.427716
10:30:02,30-Sep-21,0.655,0.656,0.429025,0.430336
10:30:02,30-Sep-21,0.65,0.659,0.4225,0.434281
10:30:02,30-Sep-21,0.65,0.662,0.4225,0.438244
10:30:02,30-Sep-21,0.655,0.665,0.429025,0.442225
10:30:02,30-Sep-21,0.655,0.667,0.429025,0.444889
10:30:02,30-Sep-21,0.655,0.67,0.429025,0.4489
10:30:02,30-Sep-21,0.655,0.673,0.429025,0.452929
10:30:02,30-Sep-21,0.6645,0.676,0.44156025,0.456976
10:30:02,30-Sep-21,0.6645,0.679,0.44156025,0.461041
10:30:02,30-Sep-21,0.6795,0.682,0.46172025,0.465124
10:30:02,30-Sep-21,0.6795,0.684,0.46172025,0.467856
10:30:02,30-Sep-21,0.699,0.687,0.488601,0.471969
10:30:02,30-Sep-21,0.699,0.69,0.488601,0.4761
10:30:02,30-Sep-21,0.699,0.693,0.488601,0.480249
10:30:02,30-Sep-21,0.7085,0.695,0.50197225,0.483025
10:30:02,30-Sep-21,0.7085,0.698,0.50197225,0.487204
10:30:02,30-Sep-21,0.7085,0.701,0.50197225,0.491401
10:30:02,30-Sep-21,0.7085,0.703,0.50197225,0.494209
10:30:02,30-Sep-21,0.7085,0.706,0.50197225,0.498436
10:30:02,30-Sep-21,0.7185,0.708,0.51624225,0.501264
10:30:02,30-Sep-21,0.7185,0.711,0.51624225,0.505521
10:30:02,30-Sep-21,0.7185,0.713,0.51624225,0.508369
10:30:02,30-Sep-21,0.7235,0.715,0.52345225,0.511225
10:30:02,30-Sep-21,0.7235,0.717,0.52345225,0.514089
10:30:02,30-Sep-21,0.7235,0.719,0.52345225,0.516961
10:30:02,30-Sep-21,0.733,0.721,0.537289,0.519841
10:30:02,30-Sep-21,0.733,0.723,0.537289,0.522729
10:30:02,30-Sep-21,0.7235,0.725,0.52345225,0.525625
10:30:02,30-Sep-21,0.7235,0.727,0.52345225,0.528529
10:30:02,30-Sep-21,0.7235,0.728,0.52345225,0.529984
10:30:02,30-Sep-21,0.7235,0.73,0.52345225,0.5329
10:30:02,30-Sep-21,0.7235,0.731,0.52345225,0.534361
10:30:02,30-Sep-21,0.7235,0.733,0.52345225,0.537289
10:30:02,30-Sep-21,0.7235,0.734,0.52345225,0.538756
10:30:02,30-Sep-21,0.7235,0.735,0.52345225,0.540225
10:30:02,30-Sep-21,0.7235,0.736,0.52345225,0.541696
10:30:02,30-Sep-21,0.7235,0.737,0.52345225,0.543169
10:30:02,30-Sep-21,0.7235,0.738,0.52345225,0.544644
10:30:02,30-Sep-21,0.7285,0.739,0.53071225,0.546121
10:30:02,30-Sep-21,0.7285,0.74,0.53071225,0.5476
10:30:02,30-Sep-21,0.748,0.741,0.559504,0.549081
10:30:02,30-Sep-21,0.748,0.741,0.559504,0.549081
10:30:02,30-Sep-21,0.748,0.742,0.559504,0.550564
10:30:02,30-Sep-21,0.748,0.742,0.559504,0.550564
10:30:02,30-Sep-21,0.7525,0.743,0.56625625,0.552049
10:30:02,30-Sep-21,0.7525,0.743,0.56625625,0.552049
10:30:02,30-Sep-21,0.7575,0.743,0.57380625,0.552049
10:30:02,30-Sep-21,0.7575,0.744,0.57380625,0.553536
10:30:02,30-Sep-21,0.7575,0.744,0.57380625,0.553536
10:30:02,30-Sep-21,0.7575,0.744,0.57380625,0.553536
10:30:02,30-Sep-21,0.7575,0.744,0.57380625,0.553536
10:30:02,30-Sep-21,0.748,0.744,0.559504,0.553536
10:30:02,30-Sep-21,0.748,0.744,0.559504,0.553536
10:30:02,30-Sep-21,0.748,0.743,0.559504,0.552049
