Time,Date,EMG Value (V),Filtered Value (V),,
10:34:25,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:25,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:25,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:25,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:25,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:25,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:25,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:25,30-Sep-21,0.0635,0.062,0.00403225,0.003844
10:34:25,30-Sep-21,0.0635,0.062,0.00403225,0.003844
10:34:25,30-Sep-21,0.0635,0.062,0.00403225,0.003844
10:34:25,30-Sep-21,0.0635,0.062,0.00403225,0.003844
10:34:25,30-Sep-21,0.0635,0.062,0.00403225,0.003844
10:34:25,30-Sep-21,0.0635,0.062,0.00403225,0.003844
10:34:25,30-Sep-21,0.0635,0.062,0.00403225,0.003844
10:34:25,30-Sep-21,0.0635,0.062,0.00403225,0.003844
10:34:25,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:26,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:26,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:26,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:26,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:26,30-Sep-21,0.0635,0.063,0.00403225,0.003969
10:34:26,30-Sep-21,0.0585,0.063,0.00342225,0.003969
10:34:26,30-Sep-21,0.0585,0.064,0.00342225,0.004096
10:34:26,30-Sep-21,0.0585,0.064,0.00342225,0.004096
10:34:26,30-Sep-21,0.0585,0.064,0.00342225,0.004096
10:34:26,30-Sep-21,0.0585,0.064,0.00342225,0.004096
10:34:26,30-Sep-21,0.0585,0.065,0.00342225,0.004225
10:34:26,30-Sep-21,0.0585,0.065,0.00342225,0.004225
10:34:26,30-Sep-21,0.0635,0.065,0.00403225,0.004225
10:34:26,30-Sep-21,0.0635,0.066,0.00403225,0.004356
10:34:26,30-Sep-21,0.0685,0.066,0.00469225,0.004356
10:34:26,30-Sep-21,0.0685,0.067,0.00469225,0.004489
10:34:26,30-Sep-21,0.0685,0.067,0.00469225,0.004489
10:34:26,30-Sep-21,0.0685,0.067,0.00469225,0.004489
10:34:26,30-Sep-21,0.0685,0.068,0.00469225,0.004624
10:34:26,30-Sep-21,0.0685,0.068,0.00469225,0.004624
10:34:26,30-Sep-21,0.0685,0.069,0.00469225,0.004761
10:34:26,30-Sep-21,0.0685,0.069,0.00469225,0.004761
10:34:26,30-Sep-21,0.0685,0.07,0.00469225,0.0049
10:34:26,30-Sep-21,0.0735,0.07,0.00540225,0.0049
10:34:26,30-Sep-21,0.0735,0.07,0.00540225,0.0049
10:34:26,30-Sep-21,0.0735,0.071,0.00540225,0.005041
10:34:26,30-Sep-21,0.0735,0.071,0.00540225,0.005041
10:34:26,30-Sep-21,0.0735,0.072,0.00540225,0.005184
10:34:26,30-Sep-21,0.0735,0.072,0.00540225,0.005184
10:34:26,30-Sep-21,0.0735,0.072,0.00540225,0.005184
10:34:26,30-Sep-21,0.078,0.073,0.006084,0.005329
10:34:26,30-Sep-21,0.078,0.073,0.006084,0.005329
10:34:26,30-Sep-21,0.078,0.073,0.006084,0.005329
10:34:26,30-Sep-21,0.078,0.074,0.006084,0.005476
10:34:26,30-Sep-21,0.078,0.074,0.006084,0.005476
10:34:26,30-Sep-21,0.0735,0.074,0.00540225,0.005476
10:34:26,30-Sep-21,0.0735,0.075,0.00540225,0.005625
10:34:26,30-Sep-21,0.0735,0.075,0.00540225,0.005625
10:34:26,30-Sep-21,0.0735,0.075,0.00540225,0.005625
10:34:26,30-Sep-21,0.0735,0.075,0.00540225,0.005625
10:34:26,30-Sep-21,0.0735,0.076,0.00540225,0.005776
10:34:26,30-Sep-21,0.0735,0.076,0.00540225,0.005776
10:34:26,30-Sep-21,0.0735,0.076,0.00540225,0.005776
10:34:26,30-Sep-21,0.0735,0.076,0.00540225,0.005776
10:34:26,30-Sep-21,0.0735,0.076,0.00540225,0.005776
10:34:26,30-Sep-21,0.0735,0.076,0.00540225,0.005776
10:34:26,30-Sep-21,0.078,0.077,0.006084,0.005929
10:34:26,30-Sep-21,0.078,0.077,0.006084,0.005929
10:34:26,30-Sep-21,0.078,0.077,0.006084,0.005929
10:34:26,30-Sep-21,0.078,0.077,0.006084,0.005929
10:34:26,30-Sep-21,0.078,0.077,0.006084,0.005929
10:34:26,30-Sep-21,0.078,0.077,0.006084,0.005929
10:34:26,30-Sep-21,0.078,0.077,0.006084,0.005929
10:34:26,30-Sep-21,0.078,0.077,0.006084,0.005929
10:34:26,30-Sep-21,0.078,0.078,0.006084,0.006084
10:34:26,30-Sep-21,0.078,0.078,0.006084,0.006084
10:34:26,30-Sep-21,0.078,0.078,0.006084,0.006084
10:34:26,30-Sep-21,0.078,0.078,0.006084,0.006084
10:34:26,30-Sep-21,0.078,0.078,0.006084,0.006084
10:34:26,30-Sep-21,0.078,0.078,0.006084,0.006084
10:34:26,30-Sep-21,0.078,0.078,0.006084,0.006084
10:34:26,30-Sep-21,0.078,0.079,0.006084,0.006241
10:34:26,30-Sep-21,0.078,0.079,0.006084,0.006241
10:34:26,30-Sep-21,0.078,0.079,0.006084,0.006241
10:34:26,30-Sep-21,0.078,0.079,0.006084,0.006241
10:34:26,30-Sep-21,0.078,0.079,0.006084,0.006241
10:34:26,30-Sep-21,0.078,0.079,0.006084,0.006241
10:34:26,30-Sep-21,0.078,0.08,0.006084,0.0064
10:34:26,30-Sep-21,0.078,0.08,0.006084,0.0064
10:34:26,30-Sep-21,0.078,0.08,0.006084,0.0064
10:34:26,30-Sep-21,0.078,0.08,0.006084,0.0064
10:34:26,30-Sep-21,0.078,0.081,0.006084,0.006561
10:34:26,30-Sep-21,0.083,0.081,0.006889,0.006561
10:34:26,30-Sep-21,0.083,0.081,0.006889,0.006561
10:34:26,30-Sep-21,0.083,0.081,0.006889,0.006561
10:34:26,30-Sep-21,0.083,0.082,0.006889,0.006724
10:34:26,30-Sep-21,0.083,0.082,0.006889,0.006724
10:34:26,30-Sep-21,0.083,0.082,0.006889,0.006724
10:34:26,30-Sep-21,0.083,0.082,0.006889,0.006724
10:34:26,30-Sep-21,0.083,0.083,0.006889,0.006889
10:34:26,30-Sep-21,0.083,0.083,0.006889,0.006889
10:34:26,30-Sep-21,0.083,0.083,0.006889,0.006889
10:34:26,30-Sep-21,0.083,0.084,0.006889,0.007056
10:34:26,30-Sep-21,0.083,0.084,0.006889,0.007056
10:34:26,30-Sep-21,0.083,0.084,0.006889,0.007056
10:34:26,30-Sep-21,0.083,0.084,0.006889,0.007056
10:34:26,30-Sep-21,0.083,0.085,0.006889,0.007225
10:34:26,30-Sep-21,0.083,0.085,0.006889,0.007225
10:34:26,30-Sep-21,0.083,0.085,0.006889,0.007225
10:34:26,30-Sep-21,0.088,0.085,0.007744,0.007225
10:34:26,30-Sep-21,0.088,0.086,0.007744,0.007396
10:34:26,30-Sep-21,0.088,0.086,0.007744,0.007396
10:34:26,30-Sep-21,0.088,0.086,0.007744,0.007396
10:34:26,30-Sep-21,0.088,0.086,0.007744,0.007396
10:34:26,30-Sep-21,0.088,0.087,0.007744,0.007569
10:34:26,30-Sep-21,0.088,0.087,0.007744,0.007569
10:34:26,30-Sep-21,0.088,0.087,0.007744,0.007569
10:34:26,30-Sep-21,0.088,0.087,0.007744,0.007569
10:34:26,30-Sep-21,0.088,0.087,0.007744,0.007569
10:34:26,30-Sep-21,0.088,0.087,0.007744,0.007569
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.088,0.007744,0.007744
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.093,0.089,0.008649,0.007921
10:34:26,30-Sep-21,0.093,0.089,0.008649,0.007921
10:34:26,30-Sep-21,0.093,0.089,0.008649,0.007921
10:34:26,30-Sep-21,0.093,0.089,0.008649,0.007921
10:34:26,30-Sep-21,0.093,0.089,0.008649,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.088,0.089,0.007744,0.007921
10:34:26,30-Sep-21,0.093,0.089,0.008649,0.007921
10:34:26,30-Sep-21,0.093,0.09,0.008649,0.0081
10:34:26,30-Sep-21,0.093,0.09,0.008649,0.0081
10:34:26,30-Sep-21,0.088,0.09,0.007744,0.0081
10:34:26,30-Sep-21,0.088,0.09,0.007744,0.0081
10:34:26,30-Sep-21,0.088,0.09,0.007744,0.0081
10:34:26,30-Sep-21,0.088,0.091,0.007744,0.008281
10:34:26,30-Sep-21,0.088,0.091,0.007744,0.008281
10:34:26,30-Sep-21,0.088,0.091,0.007744,0.008281
10:34:26,30-Sep-21,0.088,0.091,0.007744,0.008281
10:34:26,30-Sep-21,0.088,0.092,0.007744,0.008464
10:34:26,30-Sep-21,0.088,0.092,0.007744,0.008464
10:34:26,30-Sep-21,0.088,0.092,0.007744,0.008464
10:34:26,30-Sep-21,0.088,0.092,0.007744,0.008464
10:34:26,30-Sep-21,0.093,0.093,0.008649,0.008649
10:34:26,30-Sep-21,0.093,0.093,0.008649,0.008649
10:34:26,30-Sep-21,0.093,0.094,0.008649,0.008836
10:34:26,30-Sep-21,0.093,0.094,0.008649,0.008836
10:34:26,30-Sep-21,0.093,0.094,0.008649,0.008836
10:34:26,30-Sep-21,0.093,0.095,0.008649,0.009025
10:34:26,30-Sep-21,0.098,0.095,0.009604,0.009025
10:34:26,30-Sep-21,0.098,0.096,0.009604,0.009216
10:34:26,30-Sep-21,0.098,0.096,0.009604,0.009216
10:34:26,30-Sep-21,0.098,0.096,0.009604,0.009216
10:34:26,30-Sep-21,0.098,0.097,0.009604,0.009409
10:34:26,30-Sep-21,0.098,0.097,0.009604,0.009409
10:34:26,30-Sep-21,0.098,0.097,0.009604,0.009409
10:34:26,30-Sep-21,0.098,0.098,0.009604,0.009604
10:34:26,30-Sep-21,0.098,0.098,0.009604,0.009604
10:34:26,30-Sep-21,0.098,0.099,0.009604,0.009801
10:34:26,30-Sep-21,0.098,0.099,0.009604,0.009801
10:34:26,30-Sep-21,0.1025,0.099,0.01050625,0.009801
10:34:26,30-Sep-21,0.1025,0.099,0.01050625,0.009801
10:34:26,30-Sep-21,0.1025,0.1,0.01050625,0.01
10:34:27,30-Sep-21,0.1025,0.1,0.01050625,0.01
10:34:27,30-Sep-21,0.1025,0.1,0.01050625,0.01
10:34:27,30-Sep-21,0.1025,0.1,0.01050625,0.01
10:34:27,30-Sep-21,0.1025,0.101,0.01050625,0.010201
10:34:27,30-Sep-21,0.1025,0.101,0.01050625,0.010201
10:34:27,30-Sep-21,0.1025,0.101,0.01050625,0.010201
10:34:27,30-Sep-21,0.1025,0.101,0.01050625,0.010201
10:34:27,30-Sep-21,0.1025,0.101,0.01050625,0.010201
10:34:27,30-Sep-21,0.1025,0.101,0.01050625,0.010201
10:34:27,30-Sep-21,0.1025,0.101,0.01050625,0.010201
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.098,0.102,0.009604,0.010404
10:34:27,30-Sep-21,0.098,0.102,0.009604,0.010404
10:34:27,30-Sep-21,0.098,0.102,0.009604,0.010404
10:34:27,30-Sep-21,0.098,0.102,0.009604,0.010404
10:34:27,30-Sep-21,0.098,0.102,0.009604,0.010404
10:34:27,30-Sep-21,0.098,0.102,0.009604,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1075,0.102,0.01155625,0.010404
10:34:27,30-Sep-21,0.1075,0.102,0.01155625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.102,0.01050625,0.010404
10:34:27,30-Sep-21,0.1025,0.103,0.01050625,0.010609
10:34:27,30-Sep-21,0.1025,0.103,0.01050625,0.010609
10:34:27,30-Sep-21,0.1025,0.103,0.01050625,0.010609
10:34:27,30-Sep-21,0.1025,0.103,0.01050625,0.010609
10:34:27,30-Sep-21,0.1025,0.103,0.01050625,0.010609
10:34:27,30-Sep-21,0.1025,0.103,0.01050625,0.010609
10:34:27,30-Sep-21,0.1025,0.103,0.01050625,0.010609
10:34:27,30-Sep-21,0.1025,0.104,0.01050625,0.010816
10:34:27,30-Sep-21,0.098,0.104,0.009604,0.010816
10:34:27,30-Sep-21,0.098,0.104,0.009604,0.010816
10:34:27,30-Sep-21,0.1025,0.104,0.01050625,0.010816
10:34:27,30-Sep-21,0.1025,0.105,0.01050625,0.011025
10:34:27,30-Sep-21,0.1025,0.105,0.01050625,0.011025
10:34:27,30-Sep-21,0.1025,0.105,0.01050625,0.011025
10:34:27,30-Sep-21,0.1025,0.106,0.01050625,0.011236
10:34:27,30-Sep-21,0.1025,0.106,0.01050625,0.011236
10:34:27,30-Sep-21,0.1075,0.106,0.01155625,0.011236
10:34:27,30-Sep-21,0.1075,0.106,0.01155625,0.011236
10:34:27,30-Sep-21,0.1075,0.107,0.01155625,0.011449
10:34:27,30-Sep-21,0.1075,0.107,0.01155625,0.011449
10:34:27,30-Sep-21,0.1075,0.107,0.01155625,0.011449
10:34:27,30-Sep-21,0.1075,0.108,0.01155625,0.011664
10:34:27,30-Sep-21,0.1075,0.108,0.01155625,0.011664
10:34:27,30-Sep-21,0.1075,0.108,0.01155625,0.011664
10:34:27,30-Sep-21,0.1125,0.109,0.01265625,0.011881
10:34:27,30-Sep-21,0.1125,0.109,0.01265625,0.011881
10:34:27,30-Sep-21,0.1125,0.109,0.01265625,0.011881
10:34:27,30-Sep-21,0.1125,0.109,0.01265625,0.011881
10:34:27,30-Sep-21,0.1125,0.11,0.01265625,0.0121
10:34:27,30-Sep-21,0.1125,0.11,0.01265625,0.0121
10:34:27,30-Sep-21,0.1125,0.11,0.01265625,0.0121
10:34:27,30-Sep-21,0.1125,0.11,0.01265625,0.0121
10:34:27,30-Sep-21,0.1125,0.111,0.01265625,0.012321
10:34:27,30-Sep-21,0.1125,0.111,0.01265625,0.012321
10:34:27,30-Sep-21,0.1125,0.111,0.01265625,0.012321
10:34:27,30-Sep-21,0.1125,0.111,0.01265625,0.012321
10:34:27,30-Sep-21,0.1125,0.111,0.01265625,0.012321
10:34:27,30-Sep-21,0.1125,0.111,0.01265625,0.012321
10:34:27,30-Sep-21,0.1125,0.111,0.01265625,0.012321
