Time,Date,EMG Value (V),Filtered Value (V)
10:59:14,30-Sep-2021,0.0195,0.02
10:59:14,30-Sep-2021,0.0195,0.02
10:59:14,30-Sep-2021,0.0195,0.02
10:59:15,30-Sep-2021,0.0195,0.02
10:59:15,30-Sep-2021,0.0195,0.02
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.014499999999999999,0.019
10:59:15,30-Sep-2021,0.014499999999999999,0.019
10:59:15,30-Sep-2021,0.014499999999999999,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
10:59:15,30-Sep-2021,0.0195,0.019
