Time,Date,EMG Value (Voltage),Filtered EMG (Voltage)
09:21:54,05-Apr-2021,0.34,0.33970525341846175
09:21:54,05-Apr-2021,0.34,0.3409811565121663
09:21:54,05-Apr-2021,0.33,0.342328936119327
09:21:54,05-Apr-2021,0.33,0.3437013061175971
09:21:54,05-Apr-2021,0.32,0.34503099367258333
09:21:54,05-Apr-2021,0.35,0.34623297883649135
09:21:54,05-Apr-2021,0.36,0.347210640959347
09:21:54,05-Apr-2021,0.36,0.3478654278295045
09:21:54,05-Apr-2021,0.35,0.3481090392005419
09:21:54,05-Apr-2021,0.34,0.34787669554445216
09:21:54,05-Apr-2021,0.34,0.34713988424999936
09:21:54,05-Apr-2021,0.35,0.34591699625487776
09:21:54,05-Apr-2021,0.35,0.34428041939499776
09:21:54,05-Apr-2021,0.34,0.3423589047887953
09:21:54,05-Apr-2021,0.35,0.34033437439958675
09:21:54,05-Apr-2021,0.35,0.3384328079016856
09:21:54,05-Apr-2021,0.34,0.3369094306229216
09:21:54,05-Apr-2021,0.34,0.3360290834830502
09:21:54,05-Apr-2021,0.34,0.3360433203332769
09:21:54,05-Apr-2021,0.33,0.33716635421239954
09:21:54,05-Apr-2021,0.34,0.3395523608284493
09:21:54,05-Apr-2021,0.34,0.34327675838555016
09:21:54,05-Apr-2021,0.33,0.34832386229989526
09:21:54,05-Apr-2021,0.33,0.35458274490008823
09:21:54,05-Apr-2021,0.32,0.3618522407413404
09:21:55,05-Apr-2021,0.4,0.36985491054975134
09:21:55,05-Apr-2021,0.4,0.3782585698300583
09:21:55,05-Apr-2021,0.4,0.38670293239494186
09:21:55,05-Apr-2021,0.39,0.39482825194302473
09:21:55,05-Apr-2021,0.41,0.40230270604170315
09:21:55,05-Apr-2021,0.43,0.4088456394384184
09:21:55,05-Apr-2021,0.42,0.41424453254638816
09:21:55,05-Apr-2021,0.42,0.41836451801069136
09:21:55,05-Apr-2021,0.41,0.4211502781355346
09:21:55,05-Apr-2021,0.41,0.4226210743417181
09:21:55,05-Apr-2021,0.42,0.4228603563603693
09:21:55,05-Apr-2021,0.42,0.4220017893303203
09:21:55,05-Apr-2021,0.42,0.42021361375225674
09:21:55,05-Apr-2021,0.42,0.41768307895464835
09:21:55,05-Apr-2021,0.41,0.4146023580349486
09:21:55,05-Apr-2021,0.41,0.4111569418723102
09:21:55,05-Apr-2021,0.4,0.40751707223237027
09:21:55,05-Apr-2021,0.4,0.40383233681517977
09:21:55,05-Apr-2021,0.4,0.40022913598909354
09:21:55,05-Apr-2021,0.4,0.3968103769415718
09:21:55,05-Apr-2021,0.4,0.39365650539886754
09:21:55,05-Apr-2021,0.4,0.39082690023580047
09:21:55,05-Apr-2021,0.4,0.3883607672022629
09:21:55,05-Apr-2021,0.39,0.38627697294409485
09:21:55,05-Apr-2021,0.39,0.3845727115002418
09:21:55,05-Apr-2021,0.38,0.38322140220405904
09:21:55,05-Apr-2021,0.37,0.3821706651643344
09:21:55,05-Apr-2021,0.38,0.38134149526397176
09:21:55,05-Apr-2021,0.37,0.3806297765879698
09:21:55,05-Apr-2021,0.37,0.3799110184358861
09:21:55,05-Apr-2021,0.36,0.3790486828694831
09:21:55,05-Apr-2021,0.37,0.37790579370755323
09:21:55,05-Apr-2021,0.39,0.3763587876590076
09:21:55,05-Apr-2021,0.39,0.37431193804764384
09:21:55,05-Apr-2021,0.39,0.37171030741179095
09:21:55,05-Apr-2021,0.38,0.36854918899590844
09:21:55,05-Apr-2021,0.36,0.364878411524852
09:21:55,05-Apr-2021,0.37,0.3608006266496688
09:21:55,05-Apr-2021,0.36,0.35646361098339024
09:21:55,05-Apr-2021,0.35,0.3520475110910856
09:21:55,05-Apr-2021,0.34,0.3477486878097355
09:21:55,05-Apr-2021,0.33,0.3437622717703083
09:21:55,05-Apr-2021,0.33,0.3402656652157682
09:21:55,05-Apr-2021,0.33,0.33740500208147306
09:21:55,05-Apr-2021,0.33,0.33528605087129204
09:21:55,05-Apr-2021,0.34,0.33397031240992653
09:21:55,05-Apr-2021,0.33,0.3334762628664066
09:21:55,05-Apr-2021,0.34,0.33378495863162083
09:21:55,05-Apr-2021,0.33,0.33484866017633835
09:21:55,05-Apr-2021,0.34,0.3366008078578627
09:21:55,05-Apr-2021,0.35,0.33896561408368947
09:21:55,05-Apr-2021,0.36,0.34186571820362793
09:21:55,05-Apr-2021,0.35,0.3452267616100792
09:21:55,05-Apr-2021,0.34,0.3489783355732204
09:21:55,05-Apr-2021,0.36,0.35305144995946597
09:21:55,05-Apr-2021,0.37,0.35737334930261233
09:21:55,05-Apr-2021,0.35,0.3618610415201009
09:21:55,05-Apr-2021,0.35,0.36641520878744455
09:21:55,05-Apr-2021,0.35,0.37091617936281956
09:21:55,05-Apr-2021,0.36,0.37522332683444354
09:21:55,05-Apr-2021,0.38,0.37917865517063426
09:21:55,05-Apr-2021,0.39,0.3826145296500811
09:21:55,05-Apr-2021,0.4,0.38536470440578063
09:21:55,05-Apr-2021,0.4,0.38727717472407097
09:21:55,05-Apr-2021,0.39,0.3882270892457043
09:21:55,05-Apr-2021,0.4,0.3881280335620322
09:21:55,05-Apr-2021,0.39,0.3869403788796688
09:21:55,05-Apr-2021,0.38,0.38467594897446056
09:21:55,05-Apr-2021,0.37,0.38139885022126074
09:21:55,05-Apr-2021,0.37,0.37722280693509236
09:21:55,05-Apr-2021,0.38,0.3723056639024468
09:21:55,05-Apr-2021,0.36,0.3668418337323267
09:21:55,05-Apr-2021,0.35,0.3610534092502794
09:21:55,05-Apr-2021,0.36,0.3551804947280755
09:21:55,05-Apr-2021,0.35,0.34947110235385426
09:21:55,05-Apr-2021,0.35,0.34417077155188613
09:21:55,05-Apr-2021,0.35,0.33951195048848987
09:21:55,05-Apr-2021,0.33,0.3357031689781517
09:21:55,05-Apr-2021,0.33,0.33291813725341785
09:21:55,05-Apr-2021,0.34,0.33128509652932253
09:21:55,05-Apr-2021,0.34,0.3308769746578314
09:21:55,05-Apr-2021,0.33,0.331703115057881
09:21:55,05-Apr-2021,0.33,0.3337035111938488
09:21:55,05-Apr-2021,0.33,0.33674655295175265
09:21:55,05-Apr-2021,0.33,0.3406312280575534
09:21:55,05-Apr-2021,0.34,0.3450944817670091
09:21:55,05-Apr-2021,0.35,0.3498240175461026
09:21:55,05-Apr-2021,0.36,0.354476265290721
09:21:55,05-Apr-2021,0.35,0.3586986330279853
09:21:55,05-Apr-2021,0.35,0.3621545813935643
09:21:55,05-Apr-2021,0.37,0.3645495878007277
09:21:55,05-Apr-2021,0.37,0.36565574832177133
09:21:55,05-Apr-2021,0.37,0.36533264434456225
09:21:55,05-Apr-2021,0.38,0.36354222689339555
09:21:55,05-Apr-2021,0.37,0.36035588051339884
09:21:55,05-Apr-2021,0.36,0.3559525153293656
09:21:55,05-Apr-2021,0.36,0.3506074369206863
09:21:55,05-Apr-2021,0.35,0.344672744617454
09:21:55,05-Apr-2021,0.33,0.3385509670450151
09:21:55,05-Apr-2021,0.32,0.33266441555883786
09:21:55,05-Apr-2021,0.32,0.3274232013074766
09:21:55,05-Apr-2021,0.31,0.3231949449481023
09:21:55,05-Apr-2021,0.31,0.3202788995265093
09:21:55,05-Apr-2021,0.32,0.31888656971316126
09:21:55,05-Apr-2021,0.32,0.31913006633584867
09:21:55,05-Apr-2021,0.32,0.3210185335455301
09:21:55,05-Apr-2021,0.33,0.32446216924648796
09:21:55,05-Apr-2021,0.34,0.32928273440778794
09:21:55,05-Apr-2021,0.35,0.3352290706545449
09:21:55,05-Apr-2021,0.35,0.34199602419319464
09:21:55,05-Apr-2021,0.33,0.3492452646968393
09:21:55,05-Apr-2021,0.35,0.3566267020643051
09:21:55,05-Apr-2021,0.35,0.3637994293976206
09:21:55,05-Apr-2021,0.38,0.37045126660279076
09:21:55,05-Apr-2021,0.38,0.37631602471469305
09:21:55,05-Apr-2021,0.39,0.381187612389701
09:21:55,05-Apr-2021,0.38,0.3849301523784144
09:21:55,05-Apr-2021,0.39,0.3874834302272443
09:21:55,05-Apr-2021,0.39,0.38886326685620726
09:21:55,05-Apr-2021,0.39,0.38915675545213063
09:21:55,05-Apr-2021,0.4,0.3885126860711217
09:21:55,05-Apr-2021,0.39,0.3871278632764883
09:21:55,05-Apr-2021,0.38,0.3852303739312085
09:21:55,05-Apr-2021,0.37,0.383061146614492
09:21:55,05-Apr-2021,0.38,0.3808553118622778
09:21:55,05-Apr-2021,0.38,0.3788248801068627
09:21:55,05-Apr-2021,0.38,0.37714409170752133
09:21:55,05-Apr-2021,0.37,0.3759384943529531
09:21:55,05-Apr-2021,0.37,0.37527842439017584
09:21:55,05-Apr-2021,0.37,0.37517716050645555
09:21:55,05-Apr-2021,0.38,0.3755936140153888
09:21:55,05-Apr-2021,0.38,0.3764390497913316
09:21:55,05-Apr-2021,0.39,0.3775870350466088
09:21:55,05-Apr-2021,0.38,0.3788856300656515
09:21:55,05-Apr-2021,0.38,0.38017078306583124
09:21:55,05-Apr-2021,0.37,0.38127994726052444
09:21:55,05-Apr-2021,0.37,0.38206504458593726
09:21:55,05-Apr-2021,0.38,0.3824039971032785
09:21:55,05-Apr-2021,0.4,0.3822101090368145
09:21:55,05-Apr-2021,0.39,0.38143864008958916
09:21:55,05-Apr-2021,0.38,0.3800900307135792
09:21:55,05-Apr-2021,0.38,0.37820947520751197
09:21:55,05-Apr-2021,0.38,0.37588288391180136
09:21:55,05-Apr-2021,0.37,0.3732296672635581
09:21:55,05-Apr-2021,0.37,0.37039312560939186
09:21:55,05-Apr-2021,0.36,0.36752946791620555
09:21:55,05-Apr-2021,0.35,0.3647965675463268
09:21:55,05-Apr-2021,0.36,0.36234348185038834
09:21:55,05-Apr-2021,0.37,0.3603015357076581
09:21:55,05-Apr-2021,0.36,0.3587774553930064
09:21:55,05-Apr-2021,0.36,0.35784872154019354
09:21:55,05-Apr-2021,0.36,0.3575610653513218
09:21:55,05-Apr-2021,0.37,0.35792789860772933
09:21:55,05-Apr-2021,0.36,0.35893143605588435
