Time,Date,EMG Value (Voltage),Filtered EMG (Voltage)
09:25:02,05-Apr-2021,0.52,0.5199232540323196
09:25:02,05-Apr-2021,0.52,0.5244701043068571
09:25:02,05-Apr-2021,0.51,0.5290846935118011
09:25:02,05-Apr-2021,0.5,0.5337660504536657
09:25:02,05-Apr-2021,0.51,0.5384734115140166
09:25:02,05-Apr-2021,0.54,0.543118781817384
09:25:02,05-Apr-2021,0.54,0.5475682204866443
09:25:02,05-Apr-2021,0.56,0.5516519076659354
09:25:02,05-Apr-2021,0.57,0.5551815233382941
09:25:02,05-Apr-2021,0.57,0.5579722641571027
09:25:02,05-Apr-2021,0.56,0.5598661325719456
09:25:02,05-Apr-2021,0.57,0.5607530113858796
09:25:02,05-Apr-2021,0.57,0.5605864348757734
09:25:02,05-Apr-2021,0.57,0.5593917675114748
09:25:02,05-Apr-2021,0.57,0.5572655656325743
09:25:02,05-Apr-2021,0.55,0.5543660906203948
09:25:02,05-Apr-2021,0.55,0.5508961283089215
09:25:02,05-Apr-2021,0.55,0.547080308563989
09:25:02,05-Apr-2021,0.54,0.5431398799614984
09:25:02,05-Apr-2021,0.53,0.5392682783764354
09:25:02,05-Apr-2021,0.52,0.53561078159398
09:25:02,05-Apr-2021,0.52,0.5322510547008775
09:25:02,05-Apr-2021,0.51,0.5292064940762127
09:25:02,05-Apr-2021,0.5,0.5264330517928587
09:25:02,05-Apr-2021,0.51,0.5238388076271834
09:25:02,05-Apr-2021,0.54,0.521304153811754
09:25:02,05-Apr-2021,0.54,0.5187053163920988
09:25:02,05-Apr-2021,0.56,0.5159373151548774
09:25:02,05-Apr-2021,0.57,0.5129325601911094
09:25:03,05-Apr-2021,0.5,0.5096721467672749
09:25:03,05-Apr-2021,0.49,0.5061883806214444
09:25:03,05-Apr-2021,0.48,0.502558788615706
09:25:03,05-Apr-2021,0.48,0.49889340807655363
09:25:03,05-Apr-2021,0.49,0.4953181482740834
09:25:03,05-Apr-2021,0.49,0.4919573332026181
09:25:03,05-Apr-2021,0.48,0.4889182366398153
09:25:03,05-Apr-2021,0.48,0.4862797042922091
09:25:03,05-Apr-2021,0.48,0.4840860371744577
09:25:03,05-Apr-2021,0.48,0.48234635804766185
09:25:03,05-Apr-2021,0.49,0.48103882750436955
09:25:03,05-Apr-2021,0.49,0.48011841938039945
09:25:03,05-Apr-2021,0.49,0.4795265844124109
09:25:03,05-Apr-2021,0.49,0.47920106620032565
09:25:03,05-Apr-2021,0.48,0.4790843679496488
09:25:03,05-Apr-2021,0.48,0.47912982497673484
09:25:03,05-Apr-2021,0.47,0.4793047962684423
09:25:03,05-Apr-2021,0.47,0.4795910187313428
09:25:03,05-Apr-2021,0.48,0.4799825679097704
09:25:03,05-Apr-2021,0.48,0.48048209121689167
09:25:03,05-Apr-2021,0.48,0.4810960375489695
09:25:03,05-Apr-2021,0.49,0.4818295574669742
09:25:03,05-Apr-2021,0.49,0.4826816581926434
09:25:03,05-Apr-2021,0.48,0.48364111419827654
09:25:03,05-Apr-2021,0.47,0.48468356776815175
09:25:03,05-Apr-2021,0.49,0.48577018191531884
09:25:03,05-Apr-2021,0.48,0.48684809550742086
09:25:03,05-Apr-2021,0.49,0.4878527611550504
09:25:03,05-Apr-2021,0.5,0.4887120416560922
09:25:03,05-Apr-2021,0.5,0.48935174861314584
09:25:03,05-Apr-2021,0.48,0.4897021700125941
09:25:03,05-Apr-2021,0.47,0.4897050604627822
09:25:03,05-Apr-2021,0.49,0.4893205268389308
09:25:03,05-Apr-2021,0.48,0.48853318925861067
09:25:03,05-Apr-2021,0.5,0.4873569230376253
09:25:03,05-Apr-2021,0.51,0.48583744233718074
09:25:03,05-Apr-2021,0.49,0.48405205657633477
09:25:03,05-Apr-2021,0.47,0.4821061763582462
09:25:03,05-Apr-2021,0.48,0.4801265501627609
09:25:03,05-Apr-2021,0.47,0.4782516827770864
09:25:03,05-Apr-2021,0.48,0.47662030296236824
09:25:03,05-Apr-2021,0.49,0.4753590326394164
09:25:03,05-Apr-2021,0.48,0.4745705487353084
09:25:03,05-Apr-2021,0.46,0.47432354271423804
09:25:03,05-Apr-2021,0.46,0.4746456796151494
09:25:03,05-Apr-2021,0.46,0.4755205126415245
09:25:03,05-Apr-2021,0.47,0.4768888901752491
09:25:03,05-Apr-2021,0.49,0.4786548167785963
09:25:03,05-Apr-2021,0.49,0.48069509244535563
09:25:03,05-Apr-2021,0.49,0.4828714993014171
09:25:03,05-Apr-2021,0.48,0.4850439612577409
09:25:03,05-Apr-2021,0.49,0.4870830278203017
09:25:03,05-Apr-2021,0.49,0.48888020607291477
09:25:03,05-Apr-2021,0.5,0.4903550180975859
09:25:03,05-Apr-2021,0.5,0.4914581282268057
09:25:03,05-Apr-2021,0.5,0.4921704158735665
09:25:03,05-Apr-2021,0.48,0.49249841794104054
09:25:03,05-Apr-2021,0.49,0.4924670648573448
09:25:03,05-Apr-2021,0.48,0.49211100445420564
09:25:03,05-Apr-2021,0.49,0.49146597785323937
09:25:03,05-Apr-2021,0.5,0.4905616563055867
09:25:03,05-Apr-2021,0.5,0.4894170996128418
09:25:03,05-Apr-2021,0.48,0.4880396209723746
09:25:03,05-Apr-2021,0.46,0.48642739578892513
