Time,Date,EMG Value (mV),Filtered Value (mV)
23:39:33,04-Aug-2021,0.5720000000000001,0.579
23:39:33,04-Aug-2021,0.5720000000000001,0.579
23:39:33,04-Aug-2021,0.5720000000000001,0.58
23:39:33,04-Aug-2021,0.5720000000000001,0.58
23:39:33,04-Aug-2021,0.5720000000000001,0.581
23:39:33,04-Aug-2021,0.5720000000000001,0.581
23:39:33,04-Aug-2021,0.5720000000000001,0.581
23:39:33,04-Aug-2021,0.5720000000000001,0.582
23:39:33,04-Aug-2021,0.5765,0.582
23:39:33,04-Aug-2021,0.5765,0.582
23:39:33,04-Aug-2021,0.5765,0.583
23:39:33,04-Aug-2021,0.5765,0.583
23:39:33,04-Aug-2021,0.5765,0.583
23:39:33,04-Aug-2021,0.5765,0.583
23:39:33,04-Aug-2021,0.5765,0.584
23:39:33,04-Aug-2021,0.5765,0.584
23:39:33,04-Aug-2021,0.5815,0.584
23:39:33,04-Aug-2021,0.5815,0.585
23:39:33,04-Aug-2021,0.5815,0.585
23:39:33,04-Aug-2021,0.5815,0.585
23:39:33,04-Aug-2021,0.5815,0.585
23:39:33,04-Aug-2021,0.5815,0.586
23:39:33,04-Aug-2021,0.5915,0.586
23:39:33,04-Aug-2021,0.5915,0.586
23:39:33,04-Aug-2021,0.5915,0.586
23:39:33,04-Aug-2021,0.5915,0.587
23:39:33,04-Aug-2021,0.5915,0.587
23:39:33,04-Aug-2021,0.5915,0.587
23:39:33,04-Aug-2021,0.5915,0.587
23:39:33,04-Aug-2021,0.5915,0.588
23:39:33,04-Aug-2021,0.5965,0.588
23:39:33,04-Aug-2021,0.5965,0.588
23:39:33,04-Aug-2021,0.5965,0.588
23:39:33,04-Aug-2021,0.5965,0.588
23:39:33,04-Aug-2021,0.5965,0.588
23:39:33,04-Aug-2021,0.5965,0.589
23:39:33,04-Aug-2021,0.5965,0.589
23:39:33,04-Aug-2021,0.601,0.589
23:39:33,04-Aug-2021,0.601,0.589
23:39:33,04-Aug-2021,0.601,0.589
23:39:33,04-Aug-2021,0.601,0.589
23:39:33,04-Aug-2021,0.601,0.589
23:39:33,04-Aug-2021,0.601,0.589
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.5965,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.59
23:39:33,04-Aug-2021,0.601,0.589
23:39:33,04-Aug-2021,0.601,0.589
23:39:33,04-Aug-2021,0.606,0.589
23:39:33,04-Aug-2021,0.606,0.589
23:39:33,04-Aug-2021,0.606,0.589
23:39:33,04-Aug-2021,0.606,0.589
23:39:33,04-Aug-2021,0.606,0.589
23:39:33,04-Aug-2021,0.606,0.589
23:39:33,04-Aug-2021,0.606,0.589
23:39:33,04-Aug-2021,0.606,0.588
23:39:33,04-Aug-2021,0.611,0.588
23:39:33,04-Aug-2021,0.611,0.588
23:39:33,04-Aug-2021,0.611,0.588
23:39:33,04-Aug-2021,0.611,0.588
23:39:33,04-Aug-2021,0.611,0.588
