Time,Date,EMG Value (V),Filtered Value (V)
00:43:33,05-Aug-2021,0.606,0.598
00:43:33,05-Aug-2021,0.606,0.598
00:43:33,05-Aug-2021,0.606,0.597
00:43:33,05-Aug-2021,0.611,0.596
00:43:33,05-Aug-2021,0.611,0.595
00:43:33,05-Aug-2021,0.611,0.594
00:43:33,05-Aug-2021,0.611,0.593
00:43:33,05-Aug-2021,0.611,0.592
00:43:33,05-Aug-2021,0.606,0.592
00:43:33,05-Aug-2021,0.606,0.591
00:43:33,05-Aug-2021,0.606,0.59
00:43:33,05-Aug-2021,0.606,0.589
00:43:33,05-Aug-2021,0.606,0.588
00:43:33,05-Aug-2021,0.5965,0.587
00:43:33,05-Aug-2021,0.5965,0.586
00:43:33,05-Aug-2021,0.5965,0.585
00:43:33,05-Aug-2021,0.5965,0.585
00:43:33,05-Aug-2021,0.5965,0.584
00:43:33,05-Aug-2021,0.5965,0.583
00:43:33,05-Aug-2021,0.5965,0.582
00:43:33,05-Aug-2021,0.5965,0.581
00:43:33,05-Aug-2021,0.5815,0.58
00:43:33,05-Aug-2021,0.5815,0.579
00:43:33,05-Aug-2021,0.5815,0.579
00:43:33,05-Aug-2021,0.5815,0.578
00:43:33,05-Aug-2021,0.5815,0.577
00:43:33,05-Aug-2021,0.5815,0.576
00:43:33,05-Aug-2021,0.5815,0.575
00:43:33,05-Aug-2021,0.5475,0.575
00:43:33,05-Aug-2021,0.5475,0.574
00:43:33,05-Aug-2021,0.5475,0.573
00:43:33,05-Aug-2021,0.5475,0.572
00:43:33,05-Aug-2021,0.5475,0.572
00:43:33,05-Aug-2021,0.5475,0.571
00:43:33,05-Aug-2021,0.5475,0.57
00:43:33,05-Aug-2021,0.5475,0.57
00:43:33,05-Aug-2021,0.5475,0.569
00:43:33,05-Aug-2021,0.5475,0.568
00:43:33,05-Aug-2021,0.5475,0.568
00:43:33,05-Aug-2021,0.5475,0.567
00:43:33,05-Aug-2021,0.5475,0.567
00:43:33,05-Aug-2021,0.5475,0.566
00:43:33,05-Aug-2021,0.5475,0.566
00:43:33,05-Aug-2021,0.562,0.565
00:43:33,05-Aug-2021,0.562,0.565
00:43:33,05-Aug-2021,0.562,0.564
00:43:33,05-Aug-2021,0.562,0.564
00:43:33,05-Aug-2021,0.562,0.564
00:43:33,05-Aug-2021,0.562,0.563
00:43:33,05-Aug-2021,0.562,0.563
00:43:33,05-Aug-2021,0.567,0.563
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
00:43:33,05-Aug-2021,0.567,0.562
