Time,Date,EMG Value (V),Filtered Value (V),,
10:38:29,26-Aug-21,5,5.014,25,25.140196
10:38:29,26-Aug-21,5,5.023,25,25.230529
10:38:29,26-Aug-21,5,5.034,25,25.341156
10:38:29,26-Aug-21,5,5.044,25,25.441936
10:38:29,26-Aug-21,5,5.056,25,25.563136
10:38:29,26-Aug-21,5,5.068,25,25.684624
10:38:29,26-Aug-21,5,5.081,25,25.816561
10:38:29,26-Aug-21,5,5.093,25,25.938649
10:38:29,26-Aug-21,5,5.106,25,26.071236
10:38:29,26-Aug-21,5,5.119,25,26.204161
10:38:29,26-Aug-21,5,5.132,25,26.337424
10:38:29,26-Aug-21,5,5.145,25,26.471025
10:38:29,26-Aug-21,5,5.157,25,26.594649
10:38:29,26-Aug-21,5,5.168,25,26.708224
10:38:29,26-Aug-21,5,5.177,25,26.801329
10:38:29,26-Aug-21,5,5.186,25,26.894596
10:38:29,26-Aug-21,5,5.193,25,26.967249
10:38:29,26-Aug-21,5,5.197,25,27.008809
10:38:29,26-Aug-21,5,5.2,25,27.04
10:38:29,26-Aug-21,5,5.199,25,27.029601
10:38:29,26-Aug-21,5,5.196,25,26.998416
10:38:29,26-Aug-21,5,5.189,25,26.925721
10:38:29,26-Aug-21,5,5.178,25,26.811684
10:38:29,26-Aug-21,5,5.163,25,26.656569
10:38:29,26-Aug-21,5,5.143,25,26.450449
10:38:29,26-Aug-21,5,5.119,25,26.204161
10:38:29,26-Aug-21,5,5.089,25,25.897921
10:38:29,26-Aug-21,5,5.054,25,25.542916
10:38:29,26-Aug-21,5,5.013,25,25.130169
10:38:29,26-Aug-21,5,4.965,25,24.651225
10:38:29,26-Aug-21,5,4.911,25,24.117921
10:38:29,26-Aug-21,5,4.85,25,23.5225
10:38:29,26-Aug-21,5,4.783,25,22.877089
10:38:29,26-Aug-21,5,4.708,25,22.165264
10:38:29,26-Aug-21,5,4.627,25,21.409129
10:38:29,26-Aug-21,5,4.538,25,20.593444
10:38:29,26-Aug-21,5,4.442,25,19.731364
10:38:29,26-Aug-21,5,4.34,25,18.8356
10:38:29,26-Aug-21,5,4.23,25,17.8929
10:38:29,26-Aug-21,5,4.115,25,16.933225
10:38:29,26-Aug-21,5,3.993,25,15.944049
10:38:29,26-Aug-21,5,3.865,25,14.938225
10:38:29,26-Aug-21,5,3.732,25,13.927824
10:38:29,26-Aug-21,5,3.595,25,12.924025
10:38:29,26-Aug-21,3.0155,3.453,9.09324025,11.923209
