Time,Date,EMG Value (V),Filtered Value (V),,
10:42:41,26-Aug-21,0.2785,0.28,0.07756225,0.0784
10:42:41,26-Aug-21,0.2055,0.279,0.04223025,0.077841
10:42:41,26-Aug-21,0.2055,0.279,0.04223025,0.077841
10:42:41,26-Aug-21,0.1565,0.279,0.02449225,0.077841
10:42:41,26-Aug-21,0.1565,0.279,0.02449225,0.077841
10:42:41,26-Aug-21,0.1565,0.28,0.02449225,0.0784
10:42:41,26-Aug-21,0.2935,0.281,0.08614225,0.078961
10:42:41,26-Aug-21,0.22,0.283,0.0484,0.080089
10:42:41,26-Aug-21,0.22,0.285,0.0484,0.081225
10:42:41,26-Aug-21,0.22,0.287,0.0484,0.082369
10:42:41,26-Aug-21,0.3275,0.289,0.10725625,0.083521
10:42:41,26-Aug-21,0.2395,0.292,0.05736025,0.085264
10:42:41,26-Aug-21,0.2395,0.295,0.05736025,0.087025
10:42:41,26-Aug-21,0.2395,0.298,0.05736025,0.088804
10:42:41,26-Aug-21,0.176,0.302,0.030976,0.091204
10:42:41,26-Aug-21,0.176,0.306,0.030976,0.093636
10:42:41,26-Aug-21,0.137,0.31,0.018769,0.0961
10:42:41,26-Aug-21,0.137,0.314,0.018769,0.098596
10:42:41,26-Aug-21,0.137,0.318,0.018769,0.101124
10:42:41,26-Aug-21,0.435,0.323,0.189225,0.104329
10:42:41,26-Aug-21,0.435,0.327,0.189225,0.106929
10:42:41,26-Aug-21,0.4985,0.331,0.24850225,0.109561
10:42:41,26-Aug-21,0.4985,0.335,0.24850225,0.112225
10:42:41,26-Aug-21,0.5425,0.339,0.29430625,0.114921
10:42:41,26-Aug-21,0.5425,0.343,0.29430625,0.117649
10:42:41,26-Aug-21,0.396,0.347,0.156816,0.120409
10:42:41,26-Aug-21,0.396,0.35,0.156816,0.1225
10:42:41,26-Aug-21,0.396,0.353,0.156816,0.124609
10:42:41,26-Aug-21,0.396,0.356,0.156816,0.126736
10:42:41,26-Aug-21,0.396,0.358,0.156816,0.128164
10:42:41,26-Aug-21,0.2935,0.361,0.08614225,0.130321
10:42:41,26-Aug-21,0.2935,0.362,0.08614225,0.131044
10:42:41,26-Aug-21,0.4105,0.364,0.16851025,0.132496
10:42:41,26-Aug-21,0.4105,0.365,0.16851025,0.133225
10:42:41,26-Aug-21,0.4105,0.366,0.16851025,0.133956
10:42:41,26-Aug-21,0.425,0.366,0.180625,0.133956
10:42:41,26-Aug-21,0.425,0.367,0.180625,0.134689
10:42:41,26-Aug-21,0.425,0.366,0.180625,0.133956
10:42:41,26-Aug-21,0.313,0.366,0.097969,0.133956
10:42:41,26-Aug-21,0.313,0.365,0.097969,0.133225
10:42:41,26-Aug-21,0.4105,0.364,0.16851025,0.132496
10:42:41,26-Aug-21,0.4105,0.363,0.16851025,0.131769
10:42:41,26-Aug-21,0.4105,0.362,0.16851025,0.131044
10:42:41,26-Aug-21,0.303,0.36,0.091809,0.1296
10:42:41,26-Aug-21,0.303,0.358,0.091809,0.128164
10:42:41,26-Aug-21,0.303,0.356,0.091809,0.126736
10:42:41,26-Aug-21,0.303,0.354,0.091809,0.125316
10:42:41,26-Aug-21,0.303,0.352,0.091809,0.123904
10:42:41,26-Aug-21,0.386,0.35,0.148996,0.1225
10:42:41,26-Aug-21,0.386,0.348,0.148996,0.121104
10:42:41,26-Aug-21,0.386,0.346,0.148996,0.119716
10:42:41,26-Aug-21,0.2835,0.344,0.08037225,0.118336
10:42:41,26-Aug-21,0.2835,0.342,0.08037225,0.116964
10:42:41,26-Aug-21,0.2835,0.34,0.08037225,0.1156
10:42:41,26-Aug-21,0.21,0.338,0.0441,0.114244
10:42:41,26-Aug-21,0.21,0.336,0.0441,0.112896
10:42:41,26-Aug-21,0.303,0.334,0.091809,0.111556
10:42:41,26-Aug-21,0.303,0.332,0.091809,0.110224
10:42:41,26-Aug-21,0.303,0.331,0.091809,0.109561
10:42:41,26-Aug-21,0.445,0.329,0.198025,0.108241
10:42:41,26-Aug-21,0.445,0.328,0.198025,0.107584
10:42:41,26-Aug-21,0.445,0.327,0.198025,0.106929
10:42:41,26-Aug-21,0.3325,0.326,0.11055625,0.106276
10:42:41,26-Aug-21,0.3325,0.325,0.11055625,0.105625
10:42:41,26-Aug-21,0.2395,0.324,0.05736025,0.104976
10:42:41,26-Aug-21,0.2395,0.324,0.05736025,0.104976
10:42:41,26-Aug-21,0.2395,0.324,0.05736025,0.104976
10:42:41,26-Aug-21,0.352,0.323,0.123904,0.104329
10:42:41,26-Aug-21,0.352,0.323,0.123904,0.104329
10:42:41,26-Aug-21,0.352,0.323,0.123904,0.104329
10:42:41,26-Aug-21,0.352,0.324,0.123904,0.104976
10:42:41,26-Aug-21,0.352,0.324,0.123904,0.104976
10:42:41,26-Aug-21,0.4205,0.325,0.17682025,0.105625
10:42:41,26-Aug-21,0.4205,0.326,0.17682025,0.106276
10:42:41,26-Aug-21,0.303,0.327,0.091809,0.106929
10:42:41,26-Aug-21,0.303,0.328,0.091809,0.107584
10:42:41,26-Aug-21,0.303,0.329,0.091809,0.108241
10:42:41,26-Aug-21,0.3765,0.331,0.14175225,0.109561
10:42:41,26-Aug-21,0.3765,0.333,0.14175225,0.110889
10:42:41,26-Aug-21,0.3765,0.335,0.14175225,0.112225
10:42:41,26-Aug-21,0.313,0.337,0.097969,0.113569
10:42:41,26-Aug-21,0.313,0.339,0.097969,0.114921
10:42:41,26-Aug-21,0.4155,0.342,0.17264025,0.116964
10:42:41,26-Aug-21,0.4155,0.344,0.17264025,0.118336
10:42:41,26-Aug-21,0.4155,0.347,0.17264025,0.120409
10:42:41,26-Aug-21,0.303,0.351,0.091809,0.123201
10:42:41,26-Aug-21,0.303,0.354,0.091809,0.125316
10:42:41,26-Aug-21,0.303,0.357,0.091809,0.127449
10:42:41,26-Aug-21,0.225,0.361,0.050625,0.130321
10:42:41,26-Aug-21,0.225,0.365,0.050625,0.133225
10:42:41,26-Aug-21,0.225,0.369,0.050625,0.136161
10:42:41,26-Aug-21,0.3275,0.373,0.10725625,0.139129
10:42:41,26-Aug-21,0.3275,0.378,0.10725625,0.142884
10:42:41,26-Aug-21,0.3275,0.382,0.10725625,0.145924
10:42:41,26-Aug-21,0.3275,0.386,0.10725625,0.148996
10:42:41,26-Aug-21,0.3275,0.391,0.10725625,0.152881
10:42:41,26-Aug-21,0.396,0.395,0.156816,0.156025
10:42:41,26-Aug-21,0.396,0.4,0.156816,0.16
10:42:41,26-Aug-21,0.396,0.404,0.156816,0.163216
10:42:41,26-Aug-21,0.44,0.408,0.1936,0.166464
10:42:41,26-Aug-21,0.44,0.412,0.1936,0.169744
10:42:41,26-Aug-21,0.44,0.416,0.1936,0.173056
10:42:41,26-Aug-21,0.5425,0.419,0.29430625,0.175561
10:42:41,26-Aug-21,0.5425,0.423,0.29430625,0.178929
10:42:41,26-Aug-21,0.5425,0.426,0.29430625,0.181476
10:42:41,26-Aug-21,0.401,0.429,0.160801,0.184041
10:42:41,26-Aug-21,0.401,0.431,0.160801,0.185761
10:42:41,26-Aug-21,0.401,0.433,0.160801,0.187489
10:42:41,26-Aug-21,0.469,0.435,0.219961,0.189225
10:42:41,26-Aug-21,0.469,0.436,0.219961,0.190096
10:42:41,26-Aug-21,0.469,0.437,0.219961,0.190969
10:42:41,26-Aug-21,0.469,0.437,0.219961,0.190969
10:42:41,26-Aug-21,0.513,0.437,0.263169,0.190969
10:42:41,26-Aug-21,0.513,0.437,0.263169,0.190969
10:42:41,26-Aug-21,0.513,0.437,0.263169,0.190969
10:42:41,26-Aug-21,0.513,0.436,0.263169,0.190096
10:42:41,26-Aug-21,0.513,0.434,0.263169,0.188356
10:42:41,26-Aug-21,0.513,0.433,0.263169,0.187489
10:42:41,26-Aug-21,0.3715,0.431,0.13801225,0.185761
10:42:41,26-Aug-21,0.3715,0.429,0.13801225,0.184041
10:42:41,26-Aug-21,0.3715,0.426,0.13801225,0.181476
10:42:42,26-Aug-21,0.303,0.424,0.091809,0.179776
10:42:42,26-Aug-21,0.303,0.421,0.091809,0.177241
10:42:42,26-Aug-21,0.303,0.418,0.091809,0.174724
10:42:42,26-Aug-21,0.523,0.415,0.273529,0.172225
10:42:42,26-Aug-21,0.523,0.412,0.273529,0.169744
10:42:42,26-Aug-21,0.523,0.409,0.273529,0.167281
10:42:42,26-Aug-21,0.523,0.405,0.273529,0.164025
10:42:42,26-Aug-21,0.401,0.402,0.160801,0.161604
10:42:42,26-Aug-21,0.401,0.399,0.160801,0.159201
10:42:42,26-Aug-21,0.401,0.396,0.160801,0.156816
10:42:42,26-Aug-21,0.401,0.394,0.160801,0.155236
10:42:42,26-Aug-21,0.2935,0.391,0.08614225,0.152881
10:42:42,26-Aug-21,0.2935,0.388,0.08614225,0.150544
10:42:42,26-Aug-21,0.2935,0.386,0.08614225,0.148996
