Time,Date,EMG Value (V),Filtered Value (V)
10:44:53,26-Aug-2021,0.005,0.005
10:44:53,26-Aug-2021,0.005,0.005
10:44:53,26-Aug-2021,0.005,0.005
10:44:53,26-Aug-2021,0.005,0.005
10:44:53,26-Aug-2021,0.005,0.005
10:44:53,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.005
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.0,0.004
10:44:54,26-Aug-2021,0.0,0.004
10:44:54,26-Aug-2021,0.0,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.0,0.004
10:44:54,26-Aug-2021,0.0,0.004
10:44:54,26-Aug-2021,0.0,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.005,0.004
10:44:54,26-Aug-2021,0.0,0.004
