Time,Date,EMG Value (V),Filtered Value (V)
10:51:59,26-Aug-2021,5.0,5.144
10:51:59,26-Aug-2021,5.0,5.112
10:51:59,26-Aug-2021,5.0,5.081
10:51:59,26-Aug-2021,5.0,5.053
10:51:59,26-Aug-2021,5.0,5.027
10:51:59,26-Aug-2021,5.0,5.003
10:51:59,26-Aug-2021,5.0,4.981
10:51:59,26-Aug-2021,5.0,4.961
10:51:59,26-Aug-2021,4.873,4.943
10:51:59,26-Aug-2021,4.873,4.927
10:51:59,26-Aug-2021,3.92,4.914
10:51:59,26-Aug-2021,3.92,4.902
10:51:59,26-Aug-2021,3.92,4.892
10:51:59,26-Aug-2021,5.0,4.884
10:51:59,26-Aug-2021,5.0,4.877
10:51:59,26-Aug-2021,5.0,4.872
10:51:59,26-Aug-2021,5.0,4.867
10:51:59,26-Aug-2021,5.0,4.864
10:51:59,26-Aug-2021,5.0,4.862
10:51:59,26-Aug-2021,5.0,4.86
10:51:59,26-Aug-2021,5.0,4.858
10:51:59,26-Aug-2021,5.0,4.857
10:51:59,26-Aug-2021,5.0,4.856
10:51:59,26-Aug-2021,5.0,4.854
10:51:59,26-Aug-2021,5.0,4.852
10:51:59,26-Aug-2021,5.0,4.85
10:51:59,26-Aug-2021,5.0,4.847
10:51:59,26-Aug-2021,5.0,4.843
10:51:59,26-Aug-2021,5.0,4.839
10:51:59,26-Aug-2021,5.0,4.833
10:51:59,26-Aug-2021,5.0,4.827
10:51:59,26-Aug-2021,5.0,4.819
10:51:59,26-Aug-2021,5.0,4.81
10:51:59,26-Aug-2021,5.0,4.801
10:51:59,26-Aug-2021,5.0,4.79
10:51:59,26-Aug-2021,5.0,4.779
10:51:59,26-Aug-2021,5.0,4.766
10:51:59,26-Aug-2021,5.0,4.753
10:51:59,26-Aug-2021,5.0,4.739
10:51:59,26-Aug-2021,5.0,4.725
10:51:59,26-Aug-2021,5.0,4.711
10:51:59,26-Aug-2021,5.0,4.696
10:51:59,26-Aug-2021,5.0,4.681
10:51:59,26-Aug-2021,5.0,4.667
10:51:59,26-Aug-2021,5.0,4.652
10:51:59,26-Aug-2021,5.0,4.639
10:51:59,26-Aug-2021,4.3305,4.626
10:51:59,26-Aug-2021,4.3305,4.615
10:51:59,26-Aug-2021,4.3305,4.604
10:51:59,26-Aug-2021,4.3305,4.595
10:51:59,26-Aug-2021,4.3305,4.587
10:51:59,26-Aug-2021,4.3305,4.581
10:51:59,26-Aug-2021,3.4065000000000003,4.577
10:51:59,26-Aug-2021,3.4065000000000003,4.574
10:51:59,26-Aug-2021,3.4065000000000003,4.573
10:51:59,26-Aug-2021,3.4065000000000003,4.574
10:51:59,26-Aug-2021,3.4065000000000003,4.576
10:51:59,26-Aug-2021,3.4065000000000003,4.58
10:51:59,26-Aug-2021,5.0,4.586
10:51:59,26-Aug-2021,5.0,4.592
10:51:59,26-Aug-2021,5.0,4.6
10:51:59,26-Aug-2021,5.0,4.609
10:51:59,26-Aug-2021,5.0,4.619
10:51:59,26-Aug-2021,5.0,4.629
10:51:59,26-Aug-2021,5.0,4.639
10:51:59,26-Aug-2021,5.0,4.65
10:51:59,26-Aug-2021,5.0,4.661
10:51:59,26-Aug-2021,5.0,4.671
10:51:59,26-Aug-2021,5.0,4.681
10:51:59,26-Aug-2021,5.0,4.691
10:51:59,26-Aug-2021,5.0,4.7
10:51:59,26-Aug-2021,5.0,4.709
10:51:59,26-Aug-2021,5.0,4.717
10:51:59,26-Aug-2021,5.0,4.724
10:51:59,26-Aug-2021,5.0,4.731
10:51:59,26-Aug-2021,5.0,4.736
10:51:59,26-Aug-2021,5.0,4.741
10:51:59,26-Aug-2021,5.0,4.746
10:51:59,26-Aug-2021,5.0,4.749
10:51:59,26-Aug-2021,5.0,4.752
10:51:59,26-Aug-2021,5.0,4.755
10:51:59,26-Aug-2021,5.0,4.757
10:51:59,26-Aug-2021,4.736000000000001,4.759
10:51:59,26-Aug-2021,4.736000000000001,4.761
10:51:59,26-Aug-2021,4.736000000000001,4.763
10:51:59,26-Aug-2021,4.736000000000001,4.765
10:51:59,26-Aug-2021,4.736000000000001,4.767
10:51:59,26-Aug-2021,3.7535000000000003,4.77
10:51:59,26-Aug-2021,3.7535000000000003,4.772
10:51:59,26-Aug-2021,3.7535000000000003,4.775
10:51:59,26-Aug-2021,3.7535000000000003,4.779
10:51:59,26-Aug-2021,3.7535000000000003,4.783
10:51:59,26-Aug-2021,5.0,4.787
10:51:59,26-Aug-2021,5.0,4.792
10:51:59,26-Aug-2021,5.0,4.797
10:51:59,26-Aug-2021,5.0,4.802
10:51:59,26-Aug-2021,5.0,4.808
10:51:59,26-Aug-2021,5.0,4.814
10:51:59,26-Aug-2021,5.0,4.82
10:51:59,26-Aug-2021,5.0,4.826
10:51:59,26-Aug-2021,5.0,4.832
10:51:59,26-Aug-2021,5.0,4.837
10:51:59,26-Aug-2021,5.0,4.843
10:51:59,26-Aug-2021,5.0,4.849
10:51:59,26-Aug-2021,5.0,4.854
10:51:59,26-Aug-2021,5.0,4.859
10:51:59,26-Aug-2021,5.0,4.864
10:51:59,26-Aug-2021,5.0,4.868
10:51:59,26-Aug-2021,5.0,4.872
10:51:59,26-Aug-2021,5.0,4.876
10:51:59,26-Aug-2021,5.0,4.879
10:51:59,26-Aug-2021,5.0,4.882
10:51:59,26-Aug-2021,5.0,4.885
10:51:59,26-Aug-2021,5.0,4.887
10:51:59,26-Aug-2021,5.0,4.889
10:51:59,26-Aug-2021,5.0,4.891
10:51:59,26-Aug-2021,5.0,4.893
10:51:59,26-Aug-2021,5.0,4.894
10:51:59,26-Aug-2021,4.9415,4.896
10:51:59,26-Aug-2021,4.9415,4.897
10:51:59,26-Aug-2021,4.9415,4.899
10:51:59,26-Aug-2021,3.9835,4.9
10:51:59,26-Aug-2021,3.9835,4.901
10:51:59,26-Aug-2021,3.9835,4.902
10:51:59,26-Aug-2021,5.0,4.904
10:51:59,26-Aug-2021,5.0,4.905
10:51:59,26-Aug-2021,5.0,4.907
10:51:59,26-Aug-2021,5.0,4.908
10:51:59,26-Aug-2021,5.0,4.909
10:51:59,26-Aug-2021,5.0,4.91
10:51:59,26-Aug-2021,5.0,4.912
10:51:59,26-Aug-2021,5.0,4.913
10:51:59,26-Aug-2021,5.0,4.914
10:51:59,26-Aug-2021,5.0,4.914
10:51:59,26-Aug-2021,5.0,4.915
10:51:59,26-Aug-2021,5.0,4.915
10:51:59,26-Aug-2021,5.0,4.915
10:51:59,26-Aug-2021,5.0,4.915
10:51:59,26-Aug-2021,5.0,4.915
10:51:59,26-Aug-2021,5.0,4.914
10:51:59,26-Aug-2021,5.0,4.913
10:51:59,26-Aug-2021,5.0,4.912
10:51:59,26-Aug-2021,5.0,4.91
10:51:59,26-Aug-2021,5.0,4.909
10:51:59,26-Aug-2021,5.0,4.907
10:51:59,26-Aug-2021,5.0,4.905
10:51:59,26-Aug-2021,5.0,4.902
10:51:59,26-Aug-2021,5.0,4.9
10:51:59,26-Aug-2021,4.428,4.897
10:51:59,26-Aug-2021,4.428,4.894
10:51:59,26-Aug-2021,4.428,4.892
10:51:59,26-Aug-2021,5.0,4.889
10:51:59,26-Aug-2021,5.0,4.886
10:51:59,26-Aug-2021,5.0,4.883
10:51:59,26-Aug-2021,5.0,4.88
10:51:59,26-Aug-2021,5.0,4.877
10:51:59,26-Aug-2021,5.0,4.874
10:51:59,26-Aug-2021,5.0,4.871
10:51:59,26-Aug-2021,5.0,4.869
10:51:59,26-Aug-2021,5.0,4.866
10:51:59,26-Aug-2021,5.0,4.864
10:51:59,26-Aug-2021,4.9704999999999995,4.861
10:51:59,26-Aug-2021,4.9704999999999995,4.859
10:51:59,26-Aug-2021,4.9704999999999995,4.857
10:51:59,26-Aug-2021,4.003,4.855
10:51:59,26-Aug-2021,4.003,4.853
10:51:59,26-Aug-2021,4.003,4.852
10:51:59,26-Aug-2021,5.0,4.85
10:51:59,26-Aug-2021,5.0,4.849
10:51:59,26-Aug-2021,5.0,4.848
10:51:59,26-Aug-2021,5.0,4.847
10:51:59,26-Aug-2021,5.0,4.846
10:51:59,26-Aug-2021,5.0,4.846
10:51:59,26-Aug-2021,5.0,4.845
10:51:59,26-Aug-2021,5.0,4.844
10:51:59,26-Aug-2021,5.0,4.844
10:51:59,26-Aug-2021,5.0,4.843
10:51:59,26-Aug-2021,5.0,4.843
10:51:59,26-Aug-2021,5.0,4.842
10:51:59,26-Aug-2021,5.0,4.842
10:51:59,26-Aug-2021,5.0,4.842
10:51:59,26-Aug-2021,5.0,4.842
10:51:59,26-Aug-2021,5.0,4.842
10:51:59,26-Aug-2021,5.0,4.842
10:51:59,26-Aug-2021,5.0,4.842
10:51:59,26-Aug-2021,5.0,4.843
10:52:00,26-Aug-2021,5.0,4.844
10:52:00,26-Aug-2021,4.907,4.846
10:52:00,26-Aug-2021,4.907,4.847
10:52:00,26-Aug-2021,4.907,4.849
10:52:00,26-Aug-2021,3.9395000000000002,4.852
10:52:00,26-Aug-2021,3.9395000000000002,4.855
10:52:00,26-Aug-2021,3.9395000000000002,4.858
10:52:00,26-Aug-2021,3.9395000000000002,4.862
10:52:00,26-Aug-2021,5.0,4.866
10:52:00,26-Aug-2021,5.0,4.87
10:52:00,26-Aug-2021,5.0,4.875
10:52:00,26-Aug-2021,5.0,4.879
10:52:00,26-Aug-2021,5.0,4.884
10:52:00,26-Aug-2021,5.0,4.889
10:52:00,26-Aug-2021,5.0,4.893
10:52:00,26-Aug-2021,5.0,4.898
10:52:00,26-Aug-2021,5.0,4.902
10:52:00,26-Aug-2021,5.0,4.906
10:52:00,26-Aug-2021,5.0,4.909
10:52:00,26-Aug-2021,5.0,4.912
10:52:00,26-Aug-2021,5.0,4.914
10:52:00,26-Aug-2021,5.0,4.915
10:52:00,26-Aug-2021,5.0,4.916
10:52:00,26-Aug-2021,5.0,4.916
10:52:00,26-Aug-2021,5.0,4.916
10:52:00,26-Aug-2021,5.0,4.914
10:52:00,26-Aug-2021,5.0,4.912
10:52:00,26-Aug-2021,5.0,4.909
10:52:00,26-Aug-2021,5.0,4.905
10:52:00,26-Aug-2021,5.0,4.901
10:52:00,26-Aug-2021,5.0,4.895
10:52:00,26-Aug-2021,5.0,4.889
10:52:00,26-Aug-2021,5.0,4.883
10:52:00,26-Aug-2021,5.0,4.876
10:52:00,26-Aug-2021,5.0,4.868
10:52:00,26-Aug-2021,5.0,4.86
10:52:00,26-Aug-2021,5.0,4.852
10:52:00,26-Aug-2021,5.0,4.843
10:52:00,26-Aug-2021,5.0,4.834
10:52:00,26-Aug-2021,5.0,4.825
10:52:00,26-Aug-2021,5.0,4.817
